                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
127,1.211,1.2007,1.1114,0.8056,0.6131,0.67645,0.44743,1.0973,1.0285,1.081,0.00084408,0.00084408,0.00084408
128,1.2295,1.18,1.0937,0.82736,0.62646,0.68372,0.44465,1.1301,1.0209,1.0992,0.00084284,0.00084284,0.00084284
129,1.208,1.1777,1.092,0.79944,0.63508,0.67054,0.4346,1.1216,1.0593,1.0868,0.0008416,0.0008416,0.0008416
130,1.2486,1.1935,1.115,0.78604,0.62813,0.68925,0.45722,1.0887,1.0271,1.0794,0.00084036,0.00084036,0.00084036
131,1.2127,1.1647,1.0908,0.79705,0.62878,0.67963,0.44492,1.1273,1.0296,1.0955,0.00083913,0.00083913,0.00083913
132,1.2181,1.1892,1.1023,0.82429,0.63895,0.69413,0.45914,1.0913,0.97591,1.0751,0.00083789,0.00083789,0.00083789
133,1.2057,1.1599,1.0975,0.8038,0.64736,0.69426,0.45908,1.076,0.97442,1.0723,0.00083665,0.00083665,0.00083665
134,1.1862,1.139,1.0903,0.83795,0.64346,0.7042,0.46518,1.0986,0.96895,1.0827,0.00083541,0.00083541,0.00083541
135,1.1927,1.1477,1.0831,0.82845,0.6585,0.70138,0.46978,1.0597,0.98338,1.0648,0.00083418,0.00083418,0.00083418
136,1.2127,1.1475,1.0857,0.81498,0.61575,0.68302,0.4599,1.0616,1.0094,1.0612,0.00083294,0.00083294,0.00083294
137,1.1894,1.1565,1.0894,0.78366,0.65356,0.68732,0.45704,1.0606,0.98978,1.059,0.0008317,0.0008317,0.0008317
138,1.1904,1.143,1.0931,0.82269,0.63722,0.69997,0.47369,1.0482,1.0718,1.0586,0.00083046,0.00083046,0.00083046
139,1.1722,1.1145,1.0791,0.81859,0.64683,0.70366,0.47143,1.0582,0.99507,1.0593,0.00082923,0.00082923,0.00082923
140,1.194,1.1528,1.0799,0.81575,0.65361,0.70424,0.47722,1.0394,0.95839,1.0537,0.00082799,0.00082799,0.00082799
141,1.1857,1.1321,1.0907,0.84006,0.64659,0.72111,0.48728,1.0442,0.91248,1.0567,0.00082675,0.00082675,0.00082675
142,1.1903,1.1164,1.0923,0.84736,0.65323,0.71323,0.48561,1.0264,0.92227,1.0458,0.00082551,0.00082551,0.00082551
